Date,PX_LAST,Rate_of_Change
2025-03-05,45.7815,-0.002192576189843143
2025-03-04,45.8821,-0.015204816432534463
2025-03-03,46.5905,-0.012720699797418189
2025-02-28,47.1908,0.011601385649609108
2025-02-27,46.6496,-0.009352304098534825
2025-02-26,47.09,-0.009882253994953683
2025-02-25,47.56,0.002495699976392096
2025-02-24,47.4416,-0.0005119464710454658
2025-02-21,47.4659,-0.005379002820466661
2025-02-20,47.7226,-0.002779194075510527
2025-02-19,47.8556,0.004428623600575943
2025-02-18,47.6446,-0.0016511816006403723
2025-02-14,47.7234,-0.0058432752338872795
2025-02-13,48.0039,0.017247298156389146
2025-02-12,47.19,-0.003589527027027084
2025-02-11,47.36,0.008517887563884052
2025-02-10,46.96,-0.005084745762711895
2025-02-07,47.2,-0.001480854664692166
2025-02-06,47.27,-0.0014786649767638549
2025-02-05,47.34,-0.001897533206831059
2025-02-04,47.43,-0.0035714285714285587
2025-02-03,47.6,-0.004313248072425613
2025-01-31,47.8062,-0.012880446004542745
2025-01-30,48.43,0.01085368399081621
2025-01-29,47.91,0.012040557667933882
2025-01-28,47.34,-0.003578194064407403
2025-01-27,47.51,0.01625668449197848
2025-01-24,46.75,0.0025734505683037145
2025-01-23,46.63,0.005390254420008622
2025-01-22,46.38,-0.00982066609735266
2025-01-21,46.84,0.0032126793745985704
2025-01-17,46.69,0.006961817836746764
2025-01-16,46.3672,0.007783242880212926
2025-01-15,46.0091,0.0011946677343963596
2025-01-14,45.9542,0.005342375847735781
2025-01-13,45.71,0.011059500110595089
2025-01-10,45.21,-0.02396373056994816
2025-01-08,46.32,0.009150326797385588
2025-01-07,45.9,-0.011840688912809538
2025-01-06,46.45,-0.011512842884807695
2025-01-03,46.991,0.004768217584673273
2025-01-02,46.768,0.00627198691811981
2024-12-31,46.4765,0.0031685937962040445
2024-12-30,46.3297,-0.007170363639870225
2024-12-27,46.6643,-0.006296848381601494
2024-12-26,46.96,-0.0005618647097883622
2024-12-24,46.9864,0.007859287859288022
2024-12-23,46.62,-0.008585032653746993
2024-12-20,47.0237,0.0022101449275362395
2024-12-19,46.92,0.0019218449711724261
2024-12-18,46.83,-0.030234002899151013
2024-12-17,48.29,-0.004662360201334814
2024-12-16,48.5162,-0.005091818843625973
2024-12-13,48.7645,-0.004196446804165865
2024-12-12,48.97,0.0008174943797261136
2024-12-11,48.93,0.0025612129904721836
2024-12-10,48.805,0.010037251655629076
2024-12-09,48.32,-0.005812458206882365
2024-12-06,48.6025,-0.0056751343599311665
2024-12-05,48.8799,0.0012269561655058325
2024-12-04,48.82,-0.002225678484494842
2024-12-03,48.9289,-0.0002901328277121751
2024-12-02,48.9431,-0.002992462823385611
2024-11-29,49.09,0.00553052027857448
2024-11-27,48.82,-0.0023867518922364717
2024-11-26,48.9368,0.0010596297432750035
2024-11-25,48.885,0.011642633644024292
2024-11-22,48.3224,0.00679427372526642
2024-11-21,47.9963,0.012415704621822954
2024-11-20,47.4077,0.0044749080969985755
2024-11-19,47.1965,0.0026874867219035536
2024-11-18,47.07,0.0053567767069919725
2024-11-15,46.8192,-0.009106974676980628
2024-11-14,47.2495,-0.008405036726128023
2024-11-13,47.65,-0.0037633284549445367
2024-11-12,47.83,-0.00375544414427742
2024-11-11,48.0103,-0.003108388704318843
2024-11-08,48.16,0.00542797494780789
2024-11-07,47.9,-0.004158004158004269
2024-11-06,48.1,0.012844809433564919
2024-11-05,47.49,0.010640561821664285
2024-11-04,46.99,0.011320592286501396
2024-11-01,46.464,0.004125507044049348
2024-10-31,46.2731,-0.001327301843546791
2024-10-30,46.3346,-0.009521162890123946
2024-10-29,46.78,-0.007750491034119955
2024-10-28,47.1454,0.007440616105237163
2024-10-25,46.7972,-0.003277878473560758
2024-10-24,46.9511,-0.00505829649627676
2024-10-23,47.1898,-0.002334028185927317
2024-10-22,47.3002,0.00018608034441758292
2024-10-21,47.2914,-0.011072564506314109
2024-10-18,47.8209,-0.0045607826810990515
2024-10-17,48.04,-0.0018699355911074855
2024-10-16,48.13,0.006061872909699062
2024-10-15,47.84,0.003987408184680019
2024-10-14,47.65,0.005051623585492715
2024-10-11,47.4105,0.007756304521570501
2024-10-10,47.0456,-0.004631382961842401
2024-10-09,47.2645,-0.0013839002746672824
2024-10-08,47.33,0.0023295213892418065
2024-10-07,47.22,-0.008089469405588967
2024-10-04,47.6051,0.012254193175245787
2024-10-03,47.0288,-0.014441121675513924
2024-10-02,47.7179,-0.012213323286667355
2024-10-01,48.3079,-0.0008707342295760645
2024-09-30,48.35,-0.00029153855855890143
2024-09-27,48.3641,0.005208517359992504
2024-09-26,48.1135,0.0052630919150216116
2024-09-25,47.8616,-0.005163167740594443
2024-09-24,48.11,0.0007259475279302041
2024-09-23,48.0751,0.0005223725286160885
2024-09-20,48.05,-0.00393864013267009
2024-09-19,48.24,0.007098121085595155
2024-09-18,47.9,-0.0018753907063971953
2024-09-17,47.99,0.0010429703796412948
2024-09-16,47.94,0.006510616230561039
2024-09-13,47.6299,0.009963952502120454
2024-09-12,47.16,0.009741997644791667
2024-09-11,46.705,-0.00767640541109027
2024-09-10,47.0663,-0.0040986034701649965
2024-09-09,47.26,0.0015894881848044218
2024-09-06,47.185,-0.006591842621073263
2024-09-05,47.4981,-0.0006711550599621807
2024-09-04,47.53,0.006486149962836363
2024-09-03,47.2237,-0.007488440521227324
2024-08-30,47.58,0.009762308998302327
2024-08-29,47.12,-0.0038054968287526414
2024-08-28,47.3,-0.0023180812446346177
2024-08-27,47.4099,-0.0006344856661044673
