Date,Accts Payable,Rate of Change (%)
2020-05-23,12318.76923076923,-0.0636521348426844
2020-05-24,12310.923076923076,-0.06369267659107614
2020-05-25,12303.076923076924,-0.06373327001660822
2020-05-26,12295.23076923077,-0.06377391521821263
2020-05-27,12287.384615384615,-0.06381461229495455
2020-05-28,12279.538461538461,-0.06385536134622116
2020-05-29,12271.692307692309,-0.06389616247164387
2020-05-30,12263.846153846154,-0.06393701577113164
2020-05-31,12256.0,-0.0639779213447933
2020-06-01,12248.153846153846,-0.0640188792930374
2020-06-02,12240.307692307691,-0.06405988971650567
2020-06-03,12232.461538461539,-0.06410095271610627
2020-06-04,12224.615384615385,-0.06414206839305825
2020-06-05,12216.76923076923,-0.06418323684873606
2020-06-06,12208.923076923076,-0.06422445818484723
2020-06-07,12201.076923076924,-0.06426573250333245
2020-06-08,12193.23076923077,-0.06430705990644325
2020-06-09,12185.384615384615,-0.06434844049661992
2020-06-10,12177.538461538461,-0.06438987437662469
2020-06-11,12169.692307692309,-0.06443136164943075
2020-06-12,12161.846153846154,-0.06447290241836656
2020-06-13,12154.0,-0.06451449678692711
2020-06-14,12146.153846153846,-0.06455614485892935
2020-06-15,12138.307692307691,-0.0645978467384456
2020-06-16,12130.461538461539,-0.0646396025298035
2020-06-17,12122.615384615385,-0.06468141233766378
2020-06-18,12114.76923076923,-0.0647232762668648
2020-06-19,12106.923076923076,-0.064765194422578
2020-06-20,12099.076923076924,-0.06480716691020794
2020-06-21,12091.23076923077,-0.06484919383551446
2020-06-22,12083.384615384615,-0.06489127530442396
2020-06-23,12075.538461538461,-0.06493341142319586
2020-06-24,12067.692307692309,-0.06497560229834498
2020-06-25,12059.846153846154,-0.06501784803671917
2020-06-26,12052.0,-0.06506014874536614
2020-06-27,12066.78021978022,0.12263707086141995
2020-06-28,12081.560439560439,0.12248685656834901
2020-06-29,12096.34065934066,0.12233700981061357
2020-06-30,12111.12087912088,0.1221875292409802
2020-07-01,12125.901098901099,0.12203841351876576
2020-07-02,12140.681318681318,0.12188966130985968
2020-07-03,12155.461538461539,0.12174127128663503
2020-07-04,12170.241758241758,0.12159324212785982
2020-07-05,12185.021978021978,0.12144557251880794
2020-07-06,12199.802197802197,0.12129826115110376
2020-07-07,12214.582417582418,0.12115130672269991
2020-07-08,12229.362637362638,0.12100470793781071
2020-07-09,12244.142857142857,0.12085846350702312
2020-07-10,12258.923076923076,0.12071257214707476
2020-07-11,12273.703296703297,0.12056703258089829
2020-07-12,12288.483516483517,0.1204218435375548
2020-07-13,12303.263736263736,0.12027700375227823
2020-07-14,12318.043956043955,0.12013251196636432
2020-07-15,12332.824175824177,0.11998836692710402
2020-07-16,12347.604395604396,0.1198445673878501
2020-07-17,12362.384615384615,0.11970111210788392
2020-07-18,12377.164835164835,0.11955799985243765
2020-07-19,12391.945054945056,0.11941522939267202
2020-07-20,12406.725274725275,0.11927279950552094
2020-07-21,12421.505494505494,0.11913070897386913
2020-07-22,12436.285714285714,0.11898895658628561
2020-07-23,12451.065934065935,0.11884754113715701
2020-07-24,12465.846153846154,0.11870646142657648
2020-07-25,12480.626373626374,0.11856571626034373
2020-07-26,12495.406593406593,0.1184253044498762
2020-07-27,12510.186813186814,0.11828522481229786
2020-07-28,12524.967032967033,0.118145476170195
2020-07-29,12539.747252747253,0.11800605735181602
2020-07-30,12554.527472527472,0.11786696719091605
2020-07-31,12569.307692307691,0.11772820452671251
2020-08-01,12584.087912087913,0.11758976820390732
2020-08-02,12598.868131868132,0.11745165707259808
2020-08-03,12613.648351648351,0.1173138699883225
2020-08-04,12628.42857142857,0.11717640581194733
2020-08-05,12643.208791208792,0.11703926340971282
2020-08-06,12657.989010989011,0.11690244165307728
2020-08-07,12672.76923076923,0.11676593941887248
2020-08-08,12687.54945054945,0.11662975558912603
2020-08-09,12702.329670329671,0.1164938890510614
2020-08-10,12717.10989010989,0.11635833869705348
2020-08-11,12731.89010989011,0.11622310342473963
