Date,Shares Outstanding,Rate of Change (%)
2020-05-22,4294.615384615385,0.0002558794705231904
2020-05-23,4294.626373626374,0.00025587881578026384
2020-05-24,4294.6373626373625,0.00025587816105954175
2020-05-25,4294.648351648351,0.0002558775063166152
2020-05-26,4294.659340659341,0.00025587685159589313
2020-05-27,4294.67032967033,0.0002558761968529666
2020-05-28,4294.681318681319,0.0002558755421322445
2020-05-29,4294.692307692308,0.0002558748874115224
2020-05-30,4294.7032967032965,0.00025587423269080034
2020-05-31,4294.714285714285,0.00025587357797007826
2020-06-01,4294.725274725275,0.0002558729232937651
2020-06-02,4294.736263736264,0.00025587226855083856
2020-06-03,4294.747252747253,0.00025587161385232093
2020-06-04,4294.758241758242,0.0002558709591538033
2020-06-05,4294.7692307692305,0.0002558703044552857
2020-06-06,4294.780219780219,0.00025586964975676807
2020-06-07,4294.791208791209,0.00025586899510265937
2020-06-08,4294.802197802198,0.0002558683403819373
2020-06-09,4294.813186813187,0.0002558676857056241
2020-06-10,4294.824175824176,0.0002558670310071065
2020-06-11,4294.8351648351645,0.00025586637633079334
2020-06-12,4294.846153846154,0.00025586572167668464
2020-06-13,4294.857142857143,0.0002558650670003715
2020-06-14,4294.868131868132,0.0002558644123240583
2020-06-15,4294.879120879121,0.0002558637576699496
2020-06-16,4294.89010989011,0.00025586310299363646
2020-06-17,4294.9010989010985,0.00025586244833952776
2020-06-18,4294.912087912088,0.0002558617937076235
2020-06-19,4294.923076923077,0.00025586113903131036
2020-06-20,4294.934065934066,0.0002558604843994061
2020-06-21,4294.945054945055,0.0002558598297452974
2020-06-22,4294.956043956044,0.0002558591751133932
2020-06-23,4294.9670329670325,0.0002558585204592845
2020-06-24,4294.978021978022,0.0002558578658495847
2020-06-25,4294.989010989011,0.000255857211195476
2020-06-26,4295.0,0.0002558565565857762
2020-06-27,4295.021978021978,0.000511711803907744
2020-06-28,4295.043956043956,0.0005117091854467404
2020-06-29,4295.065934065934,0.0005117065669857368
2020-06-30,4295.087912087912,0.0005117039485469377
2020-07-01,4295.10989010989,0.0005117013301747519
2020-07-02,4295.131868131868,0.0005116987117803617
2020-07-03,4295.153846153846,0.0005116960934525849
2020-07-04,4295.175824175824,0.0005116934751470126
2020-07-05,4295.197802197802,0.0005116908568414402
2020-07-06,4295.219780219781,0.0005116882386024812
2020-07-07,4295.241758241758,0.0005116856203413178
2020-07-08,4295.263736263736,0.0005116830021467678
2020-07-09,4295.285714285715,0.0005116803839744222
2020-07-10,4295.307692307692,0.0005116777658020766
2020-07-11,4295.32967032967,0.0005116751476741399
2020-07-12,4295.351648351649,0.0005116725295906122
2020-07-13,4295.373626373626,0.0005116699115070844
2020-07-14,4295.395604395604,0.0005116672934457611
2020-07-15,4295.417582417583,0.0005116646754510512
2020-07-16,4295.43956043956,0.0005116620574341368
2020-07-17,4295.461538461538,0.0005116594394616314
2020-07-18,4295.483516483517,0.0005116568215557393
2020-07-19,4295.505494505494,0.0005116542036054383
2020-07-20,4295.527472527472,0.0005116515857217507
2020-07-21,4295.549450549451,0.000511648967882472
2020-07-22,4295.571428571428,0.0005116463500431934
2020-07-23,4295.593406593406,0.0005116437322261191
2020-07-24,4295.615384615385,0.0005116411144756583
2020-07-25,4295.6373626373625,0.000511638496702993
2020-07-26,4295.659340659341,0.0005116358789969411
2020-07-27,4295.681318681319,0.0005116332612686847
2020-07-28,4295.7032967032965,0.0005116306436070417
2020-07-29,4295.725274725275,0.0005116280259676032
2020-07-30,4295.747252747253,0.0005116254083281646
2020-07-31,4295.7692307692305,0.000511622790733135
2020-08-01,4295.791208791209,0.0005116201732047188
2020-08-02,4295.813186813187,0.0005116175556318936
2020-08-03,4295.8351648351645,0.0005116149381256818
2020-08-04,4295.857142857143,0.000511612320663879
2020-08-05,4295.879120879121,0.0005116097031798716
2020-08-06,4295.9010989010985,0.0005116070857402732
2020-08-07,4295.923076923077,0.0005116044683672882
2020-08-08,4295.945054945055,0.0005116018509720988
2020-08-09,4295.9670329670325,0.0005115992336213182
2020-08-10,4295.989010989011,0.0005115966163149466
2020-08-11,4296.010989010989,0.0005115939989863705
2020-08-12,4296.0329670329675,0.0005115913817466122
2020-08-13,4296.054945054945,0.0005115887644846495
2020-08-14,4296.076923076923,0.0005115861472670957
2020-08-15,4296.0989010989015,0.0005115835300939509
2020-08-16,4296.120879120879,0.0005115809128986015
2020-08-17,4296.142857142857,0.0005115782957698656
2020-08-18,4296.1648351648355,0.0005115756786855385
2020-08-19,4296.186813186813,0.0005115730615790071
2020-08-20,4296.208791208791,0.0005115704445168845
2020-08-21,4296.2307692307695,0.0005115678275213753
2020-08-22,4296.252747252747,0.0005115652104814572
2020-08-23,4296.274725274725,0.0005115625935081525
2020-08-24,4296.2967032967035,0.0005115599765792567
2020-08-25,4296.318681318681,0.0005115573596503609
2020-08-26,4296.340659340659,0.0005115547427436695
2020-08-27,4296.3626373626375,0.0005115521259035916
