Date,ANR,Target Price,ANR Classification,ANR Change
2020-03-06,1.8000000000000003,63.5,Buy,
2020-03-07,1.7922580645161292,63.22727277201991,Buy,-0.007741935483871032
2020-03-08,1.7845161290322584,62.95454554403982,Buy,-0.00774193548387081
2020-03-09,1.7767741935483874,62.681818316059726,Buy,-0.007741935483871032
2020-03-10,1.7690322580645164,62.409091088079634,Buy,-0.007741935483871032
2020-03-11,1.7612903225806453,62.13636386009954,Buy,-0.007741935483871032
2020-03-12,1.7535483870967745,61.86363663211946,Buy,-0.00774193548387081
2020-03-13,1.7458064516129035,61.59090940413937,Buy,-0.007741935483871032
2020-03-14,1.7380645161290325,61.318182176159276,Buy,-0.007741935483871032
2020-03-15,1.7303225806451614,61.045454948179184,Buy,-0.007741935483871032
2020-03-16,1.7225806451612906,60.77272772019909,Buy,-0.00774193548387081
2020-03-17,1.7148387096774196,60.500000492219,Buy,-0.007741935483871032
2020-03-18,1.7070967741935485,60.22727326423891,Buy,-0.007741935483871032
2020-03-19,1.6993548387096775,59.95454603625882,Buy,-0.007741935483871032
2020-03-20,1.6916129032258067,59.68181880827873,Buy,-0.00774193548387081
2020-03-21,1.6838709677419357,59.409091580298636,Buy,-0.007741935483871032
2020-03-22,1.6761290322580646,59.13636435231855,Buy,-0.007741935483871032
2020-03-23,1.6683870967741936,58.86363712433846,Buy,-0.007741935483871032
2020-03-24,1.6606451612903228,58.59090989635837,Buy,-0.00774193548387081
2020-03-25,1.6529032258064518,58.31818266837828,Buy,-0.007741935483871032
2020-03-26,1.6451612903225807,58.045455440398186,Buy,-0.007741935483871032
2020-03-27,1.6374193548387097,57.772728212418095,Buy,-0.007741935483871032
2020-03-28,1.629677419354839,57.500000984438,Buy,-0.00774193548387081
2020-03-29,1.6219354838709679,57.22727375645791,Buy,-0.007741935483871032
2020-03-30,1.6141935483870968,56.95454652847782,Buy,-0.007741935483871032
2020-03-31,1.6064516129032258,56.68181930049773,Buy,-0.007741935483871032
2020-04-01,1.598709677419355,56.40909207251764,Buy,-0.00774193548387081
2020-04-02,1.590967741935484,56.13636484453755,Buy,-0.007741935483871032
2020-04-03,1.583225806451613,55.86363761655746,Buy,-0.007741935483871032
2020-04-04,1.5754838709677421,55.59091038857737,Buy,-0.00774193548387081
2020-04-05,1.567741935483871,55.31818316059728,Buy,-0.007741935483871032
2020-04-06,1.56,55.04545593261719,Buy,-0.007741935483871032
2020-04-07,1.56,54.956061935424806,Buy,0.0
2020-04-08,1.56,54.866667938232425,Buy,0.0
2020-04-09,1.56,54.777273941040036,Buy,0.0
2020-04-10,1.56,54.687879943847655,Buy,0.0
2020-04-11,1.56,54.59848594665527,Buy,0.0
2020-04-12,1.56,54.50909194946289,Buy,0.0
2020-04-13,1.56,54.41969795227051,Buy,0.0
2020-04-14,1.56,54.33030395507812,Buy,0.0
2020-04-15,1.56,54.24090995788574,Buy,0.0
2020-04-16,1.56,54.15151596069336,Buy,0.0
2020-04-17,1.56,54.06212196350098,Buy,0.0
2020-04-18,1.56,53.9727279663086,Buy,0.0
2020-04-19,1.56,53.88333396911621,Buy,0.0
2020-04-20,1.56,53.79393997192383,Buy,0.0
2020-04-21,1.56,53.704545974731445,Buy,0.0
2020-04-22,1.56,53.615151977539064,Buy,0.0
2020-04-23,1.56,53.52575798034668,Buy,0.0
2020-04-24,1.56,53.436363983154294,Buy,0.0
2020-04-25,1.56,53.34696998596191,Buy,0.0
2020-04-26,1.56,53.25757598876953,Buy,0.0
2020-04-27,1.56,53.16818199157715,Buy,0.0
2020-04-28,1.56,53.07878799438477,Buy,0.0
2020-04-29,1.56,52.98939399719238,Buy,0.0
2020-04-30,1.56,52.9,Buy,0.0
2020-05-01,1.56,52.81060600280762,Buy,0.0
2020-05-02,1.56,52.721212005615236,Buy,0.0
2020-05-03,1.56,52.631818008422854,Buy,0.0
2020-05-04,1.56,52.542424011230466,Buy,0.0
2020-05-05,1.56,52.453030014038085,Buy,0.0
2020-05-06,1.56,52.3636360168457,Buy,0.0
2020-05-07,1.56,52.3636360168457,Buy,0.0
2020-05-08,1.56,52.3636360168457,Buy,0.0
2020-05-09,1.56,52.3636360168457,Buy,0.0
2020-05-10,1.56,52.3636360168457,Buy,0.0
2020-05-11,1.56,52.3636360168457,Buy,0.0
2020-05-12,1.56,52.3636360168457,Buy,0.0
2020-05-13,1.56,52.3636360168457,Buy,0.0
2020-05-14,1.56,52.3636360168457,Buy,0.0
2020-05-15,1.56,52.3636360168457,Buy,0.0
2020-05-16,1.56,52.3636360168457,Buy,0.0
2020-05-17,1.56,52.3636360168457,Buy,0.0
2020-05-18,1.56,52.3636360168457,Buy,0.0
2020-05-19,1.56,52.3636360168457,Buy,0.0
2020-05-20,1.56,52.3636360168457,Buy,0.0
2020-05-21,1.56,52.3636360168457,Buy,0.0
2020-05-22,1.56,52.3636360168457,Buy,0.0
2020-05-23,1.56,52.3636360168457,Buy,0.0
2020-05-24,1.56,52.3636360168457,Buy,0.0
2020-05-25,1.56,52.3636360168457,Buy,0.0
2020-05-26,1.56,52.3636360168457,Buy,0.0
2020-05-27,1.56,52.3636360168457,Buy,0.0
2020-05-28,1.56,52.3636360168457,Buy,0.0
2020-05-29,1.56,52.3636360168457,Buy,0.0
2020-05-30,1.56,52.3636360168457,Buy,0.0
2020-05-31,1.56,52.3636360168457,Buy,0.0
2020-06-01,1.56,52.3636360168457,Buy,0.0
2020-06-02,1.56,52.3636360168457,Buy,0.0
2020-06-03,1.56,52.3636360168457,Buy,0.0
