Date,Short Interest,Close,Average Daily Volume,Short Interest Ratio,Short Interest_roc,Average Daily Volume_roc,Short Interest Ratio_roc
2019-12-31 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-01 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-02 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-03 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-04 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-05 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-06 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-07 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-08 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-09 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-10 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-11 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-12 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-13 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-14 00:00:00,37466279,55.35,9554728,3.921229259,0,0,0
2020-01-15 00:00:00,36634601,56.7,11716103,3.126858905,-0.022198041,0.226209998,-0.202581972
2020-01-16 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-17 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-18 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-19 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-20 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-21 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-22 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-23 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-24 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-25 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-26 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-27 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-28 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-29 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-30 00:00:00,36634601,56.7,11716103,3.126858905,0,0,0
2020-01-31 00:00:00,36185124,58.4,12162777,2.975070907,-0.012269193,0.038124793,-0.048543284
2020-02-01 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-02 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-03 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-04 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-05 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-06 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-07 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-08 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-09 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-10 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-11 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-12 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-13 00:00:00,36185124,58.4,12162777,2.975070907,0,0,0
2020-02-14 00:00:00,38342179,59.95,9004286,4.258214255,0.059611651,-0.259685021,0.431298409
2020-02-15 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-16 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-17 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-18 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-19 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-20 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-21 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-22 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-23 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-24 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-25 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-26 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-27 00:00:00,38342179,59.95,9004286,4.258214255,0,0,0
2020-02-28 00:00:00,34548949,53.49,16177521,2.135614536,-0.098930997,0.79664673,-0.498471799
2020-02-29 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-01 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-02 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-03 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-04 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-05 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-06 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-07 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-08 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-09 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
2020-03-10 00:00:00,34548949,53.49,16177521,2.135614536,0,0,0
