Date,M2_Value,Daily_Change
2019-12-31,15334.3,0.4
2020-01-01,15336.46129032258,0.4012903225806452
2020-01-02,15338.62258064516,0.40258064516129033
2020-01-03,15340.783870967742,0.4038709677419355
2020-01-04,15342.945161290321,0.4051612903225807
2020-01-05,15345.106451612903,0.40645161290322585
2020-01-06,15347.267741935482,0.407741935483871
2020-01-07,15349.429032258064,0.40903225806451615
2020-01-08,15351.590322580645,0.4103225806451613
2020-01-09,15353.751612903225,0.41161290322580646
2020-01-10,15355.912903225806,0.4129032258064516
2020-01-11,15358.074193548386,0.41419354838709677
2020-01-12,15360.235483870967,0.415483870967742
2020-01-13,15362.396774193548,0.41677419354838713
2020-01-14,15364.558064516128,0.4180645161290323
2020-01-15,15366.71935483871,0.41935483870967744
2020-01-16,15368.880645161289,0.4206451612903226
2020-01-17,15371.04193548387,0.42193548387096774
2020-01-18,15373.20322580645,0.4232258064516129
2020-01-19,15375.364516129031,0.42451612903225805
2020-01-20,15377.525806451613,0.42580645161290326
2020-01-21,15379.687096774192,0.4270967741935484
2020-01-22,15381.848387096774,0.42838709677419357
2020-01-23,15384.009677419353,0.4296774193548387
2020-01-24,15386.170967741935,0.4309677419354839
2020-01-25,15388.332258064516,0.432258064516129
2020-01-26,15390.493548387096,0.4335483870967742
2020-01-27,15392.654838709677,0.43483870967741933
2020-01-28,15394.816129032257,0.43612903225806454
2020-01-29,15396.977419354838,0.4374193548387097
2020-01-30,15399.138709677418,0.43870967741935485
2020-01-31,15401.3,0.44
2020-02-01,15403.110344827586,0.43655172413793103
2020-02-02,15404.920689655171,0.43310344827586206
2020-02-03,15406.731034482758,0.4296551724137931
2020-02-04,15408.541379310343,0.42620689655172417
2020-02-05,15410.35172413793,0.4227586206896552
2020-02-06,15412.162068965517,0.4193103448275862
2020-02-07,15413.972413793103,0.41586206896551725
2020-02-08,15415.78275862069,0.4124137931034483
2020-02-09,15417.593103448275,0.4089655172413793
2020-02-10,15419.403448275862,0.40551724137931033
2020-02-11,15421.213793103447,0.40206896551724136
2020-02-12,15423.024137931034,0.39862068965517244
2020-02-13,15424.83448275862,0.39517241379310347
2020-02-14,15426.644827586206,0.3917241379310345
2020-02-15,15428.455172413793,0.3882758620689655
2020-02-16,15430.265517241378,0.38482758620689655
2020-02-17,15432.075862068965,0.3813793103448276
2020-02-18,15433.886206896552,0.37793103448275867
2020-02-19,15435.696551724137,0.3744827586206897
2020-02-20,15437.506896551724,0.3710344827586207
2020-02-21,15439.317241379309,0.36758620689655175
2020-02-22,15441.127586206896,0.3641379310344828
2020-02-23,15442.937931034481,0.3606896551724138
2020-02-24,15444.748275862068,0.35724137931034483
2020-02-25,15446.558620689655,0.35379310344827586
2020-02-26,15448.36896551724,0.35034482758620694
2020-02-27,15450.179310344827,0.34689655172413797
2020-02-28,15451.989655172412,0.343448275862069
2020-02-29,15453.8,0.34
2020-03-01,15470.793548387097,0.4390322580645162
2020-03-02,15487.787096774193,0.5380645161290323
2020-03-03,15504.78064516129,0.6370967741935485
2020-03-04,15521.774193548386,0.7361290322580646
2020-03-05,15538.767741935484,0.8351612903225807
2020-03-06,15555.76129032258,0.9341935483870969
2020-03-07,15572.754838709678,1.033225806451613
2020-03-08,15589.748387096774,1.132258064516129
2020-03-09,15606.741935483871,1.2312903225806453
2020-03-10,15623.735483870967,1.3303225806451615
2020-03-11,15640.729032258065,1.4293548387096777
2020-03-12,15657.72258064516,1.5283870967741937
2020-03-13,15674.716129032258,1.62741935483871
2020-03-14,15691.709677419354,1.7264516129032261
2020-03-15,15708.703225806452,1.8254838709677421
2020-03-16,15725.696774193548,1.9245161290322583
2020-03-17,15742.690322580645,2.0235483870967745
2020-03-18,15759.683870967741,2.1225806451612903
2020-03-19,15776.677419354839,2.2216129032258065
2020-03-20,15793.670967741935,2.3206451612903227
2020-03-21,15810.664516129033,2.419677419354839
2020-03-22,15827.658064516128,2.518709677419355
2020-03-23,15844.651612903226,2.617741935483871
2020-03-24,15861.645161290322,2.716774193548387
2020-03-25,15878.63870967742,2.8158064516129033
2020-03-26,15895.632258064516,2.9148387096774195
2020-03-27,15912.625806451613,3.0138709677419357
2020-03-28,15929.61935483871,3.112903225806452
2020-03-29,15946.612903225807,3.2119354838709677
2020-03-30,15963.606451612903,3.310967741935484
2020-03-31,15980.6,3.41
2020-04-01,16014.546666666667,3.5086666666666666
2020-04-02,16048.493333333334,3.6073333333333335
2020-04-03,16082.44,3.706
2020-04-04,16116.386666666667,3.804666666666667
2020-04-05,16150.333333333334,3.9033333333333333
2020-04-06,16184.28,4.002
2020-04-07,16218.226666666667,4.100666666666667
2020-04-08,16252.173333333334,4.199333333333334
2020-04-09,16286.12,4.298
2020-04-10,16320.066666666668,4.3966666666666665
2020-04-11,16354.013333333334,4.495333333333333
2020-04-12,16387.96,4.594
2020-04-13,16421.906666666666,4.692666666666667
2020-04-14,16455.853333333333,4.791333333333333
2020-04-15,16489.8,4.890000000000001
2020-04-16,16523.746666666666,4.988666666666667
2020-04-17,16557.693333333333,5.0873333333333335
2020-04-18,16591.64,5.186
2020-04-19,16625.586666666666,5.284666666666666
2020-04-20,16659.533333333333,5.383333333333334
2020-04-21,16693.48,5.482
2020-04-22,16727.426666666666,5.580666666666667
2020-04-23,16761.373333333333,5.679333333333334
2020-04-24,16795.32,5.7780000000000005
2020-04-25,16829.266666666666,5.876666666666667
2020-04-26,16863.213333333333,5.975333333333333
2020-04-27,16897.16,6.074
2020-04-28,16931.106666666667,6.172666666666666
2020-04-29,16965.053333333333,6.271333333333334
2020-04-30,16999.0,6.37
2020-05-01,17027.045161290323,6.329354838709677
2020-05-02,17055.090322580647,6.288709677419355
2020-05-03,17083.135483870967,6.248064516129032
2020-05-04,17111.18064516129,6.20741935483871
2020-05-05,17139.225806451614,6.166774193548387
2020-05-06,17167.270967741937,6.126129032258064
2020-05-07,17195.316129032257,6.085483870967742
2020-05-08,17223.36129032258,6.044838709677419
2020-05-09,17251.406451612904,6.0041935483870965
2020-05-10,17279.451612903227,5.9635483870967745
2020-05-11,17307.49677419355,5.922903225806452
2020-05-12,17335.54193548387,5.8822580645161295
2020-05-13,17363.587096774194,5.841612903225807
2020-05-14,17391.632258064517,5.800967741935484
2020-05-15,17419.67741935484,5.760322580645162
2020-05-16,17447.72258064516,5.719677419354839
2020-05-17,17475.767741935484,5.679032258064517
2020-05-18,17503.812903225808,5.638387096774194
2020-05-19,17531.85806451613,5.597741935483871
2020-05-20,17559.903225806454,5.557096774193549
2020-05-21,17587.948387096774,5.516451612903226
2020-05-22,17615.993548387098,5.475806451612904
2020-05-23,17644.03870967742,5.435161290322581
2020-05-24,17672.083870967745,5.394516129032258
2020-05-25,17700.129032258064,5.353870967741936
2020-05-26,17728.174193548388,5.313225806451613
2020-05-27,17756.21935483871,5.272580645161291
2020-05-28,17784.264516129035,5.231935483870968
2020-05-29,17812.309677419355,5.191290322580645
2020-05-30,17840.354838709678,5.150645161290323
2020-05-31,17868.4,5.11
2020-06-01,17878.170000000002,4.9943333333333335
2020-06-02,17887.940000000002,4.878666666666667
2020-06-03,17897.710000000003,4.763
2020-06-04,17907.48,4.647333333333334
2020-06-05,17917.25,4.531666666666667
2020-06-06,17927.02,4.416
2020-06-07,17936.79,4.300333333333334
2020-06-08,17946.56,4.184666666666667
2020-06-09,17956.33,4.069
2020-06-10,17966.100000000002,3.9533333333333336
2020-06-11,17975.870000000003,3.837666666666667
2020-06-12,17985.64,3.7220000000000004
2020-06-13,17995.41,3.6063333333333336
2020-06-14,18005.18,3.490666666666667
2020-06-15,18014.95,3.375
2020-06-16,18024.72,3.259333333333333
2020-06-17,18034.49,3.143666666666667
2020-06-18,18044.260000000002,3.028
2020-06-19,18054.03,2.912333333333333
2020-06-20,18063.8,2.796666666666667
2020-06-21,18073.57,2.681
2020-06-22,18083.34,2.5653333333333332
2020-06-23,18093.11,2.4496666666666664
2020-06-24,18102.88,2.334
2020-06-25,18112.65,2.2183333333333333
2020-06-26,18122.420000000002,2.1026666666666665
2020-06-27,18132.19,1.987
2020-06-28,18141.96,1.8713333333333333
2020-06-29,18151.73,1.7556666666666665
2020-06-30,18161.5,1.64
2020-07-01,18166.335483870967,1.6138709677419354
2020-07-02,18171.170967741935,1.5877419354838709
2020-07-03,18176.006451612902,1.5616129032258064
2020-07-04,18180.84193548387,1.5354838709677419
2020-07-05,18185.677419354837,1.5093548387096773
2020-07-06,18190.51290322581,1.4832258064516128
2020-07-07,18195.348387096776,1.4570967741935483
2020-07-08,18200.183870967743,1.4309677419354838
2020-07-09,18205.01935483871,1.4048387096774193
2020-07-10,18209.854838709678,1.3787096774193548
2020-07-11,18214.690322580645,1.3525806451612903
2020-07-12,18219.525806451613,1.3264516129032258
2020-07-13,18224.36129032258,1.3003225806451613
2020-07-14,18229.196774193548,1.2741935483870968
2020-07-15,18234.032258064515,1.2480645161290322
2020-07-16,18238.867741935486,1.2219354838709677
2020-07-17,18243.703225806454,1.1958064516129032
2020-07-18,18248.53870967742,1.1696774193548387
2020-07-19,18253.37419354839,1.1435483870967742
2020-07-20,18258.209677419356,1.1174193548387095
2020-07-21,18263.045161290323,1.0912903225806452
2020-07-22,18267.88064516129,1.0651612903225804
2020-07-23,18272.71612903226,1.0390322580645162
2020-07-24,18277.551612903226,1.0129032258064514
2020-07-25,18282.387096774193,0.986774193548387
2020-07-26,18287.222580645164,0.9606451612903225
2020-07-27,18292.05806451613,0.934516129032258
2020-07-28,18296.8935483871,0.9083870967741935
2020-07-29,18301.729032258067,0.882258064516129
2020-07-30,18306.564516129034,0.8561290322580645
2020-07-31,18311.4,0.83
2020-08-01,18313.683870967743,0.8158064516129032
2020-08-02,18315.967741935485,0.8016129032258064
2020-08-03,18318.251612903226,0.7874193548387096
2020-08-04,18320.535483870968,0.7732258064516129
2020-08-05,18322.81935483871,0.7590322580645161
2020-08-06,18325.10322580645,0.7448387096774193
2020-08-07,18327.387096774193,0.7306451612903225
2020-08-08,18329.67096774194,0.7164516129032258
2020-08-09,18331.95483870968,0.7022580645161289
2020-08-10,18334.238709677422,0.6880645161290322
2020-08-11,18336.522580645164,0.6738709677419354
2020-08-12,18338.806451612905,0.6596774193548387
2020-08-13,18341.090322580647,0.645483870967742
2020-08-14,18343.37419354839,0.6312903225806451
2020-08-15,18345.65806451613,0.6170967741935484
2020-08-16,18347.941935483872,0.6029032258064516
