Date,PX_LAST,PX_BID,Price,RSI,RSI_Signal,MACD_Line,MACD_Signal,MACD_Hist,MACD_Signal_Indicator,Bollinger_SMA,Bollinger_Upper,Bollinger_Lower,Bollinger_Signal,SMA_9,SMA_20,EMA_9,EMA_20,SMA_Cross_Signal,EMA_Cross_Signal,Overall_Signal
2019-12-31,55.35,55.33,55.35,,Hold,0.0,0.0,0.0,Hold,,,,Hold,,,55.35,55.35,Hold,Hold,Hold
2020-01-02,54.99,54.99,54.99,,Hold,-0.028717948717947195,-0.0057435897435894395,-0.022974358974357754,Sell,,,,Hold,,,55.278000000000006,55.315714285714286,Hold,Sell,Sell
2020-01-03,54.69,54.68,54.69,,Hold,-0.07482211995032628,-0.019559295784936807,-0.055262824165389475,Sell,,,,Hold,,,55.16040000000001,55.256122448979596,Hold,Hold,Sell
2020-01-06,54.67,54.66,54.67,,Hold,-0.111686389491922,-0.03798471452633385,-0.07370167496558816,Sell,,,,Hold,,,55.062320000000014,55.20030126336249,Hold,Hold,Sell
2020-01-07,54.25,54.24,54.25,,Hold,-0.1728001460901396,-0.064947800839095,-0.1078523452510446,Sell,,,,Hold,,,54.899856000000014,55.10979638113749,Hold,Hold,Sell
2020-01-08,54.35,54.35,54.35,,Hold,-0.21073485401079495,-0.094105211473435,-0.11662964253735995,Sell,,,,Hold,,,54.78988480000001,55.03743482102916,Hold,Hold,Sell
2020-01-09,55.34,55.33,55.34,,Hold,-0.15907988324765654,-0.10710014582827931,-0.051979737419377225,Sell,,,,Hold,,,54.89990784000001,55.06625055235971,Hold,Hold,Sell
2020-01-10,55.53,55.52,55.53,,Hold,-0.10163989323951483,-0.10600809531052642,0.004368202071011587,Buy,,,,Hold,,,55.025926272000014,55.110417166420696,Hold,Hold,Buy
2020-01-13,56.13,56.12,56.13,,Hold,-0.007615514820152214,-0.08632957921245157,0.07871406439229936,Buy,,,,Hold,55.03333333333333,,55.246741017600016,55.20752029342825,Hold,Buy,Buy
2020-01-14,56.0,55.98,56.0,,Hold,0.05576672485108958,-0.05791031839974335,0.11367704325083293,Buy,,,,Hold,55.105555555555554,,55.39739281408002,55.28299455119699,Hold,Hold,Buy
2020-01-15,56.7,56.7,56.7,,Hold,0.1606301123444922,-0.014202232250896236,0.17483234459538843,Buy,,,,Hold,55.29555555555556,,55.657914251264025,55.417947451082995,Hold,Hold,Buy
2020-01-16,56.82,56.83,56.82,,Hold,0.2505301440006491,0.03874424299941283,0.2117859010012363,Buy,,,,Hold,55.532222222222224,,55.890331401011224,55.55147626526557,Hold,Hold,Buy
2020-01-17,56.94,56.92,56.94,,Hold,0.3276822469335201,0.09653184378623429,0.2311504031472858,Buy,,,,Hold,55.784444444444446,,56.10026512080898,55.68371662095456,Hold,Hold,Buy
2020-01-21,57.17,57.16,57.17,,Hold,0.40274235895292065,0.15777394681957158,0.24496841213334908,Buy,,,,Hold,56.10888888888889,,56.31421209664718,55.82526741895889,Hold,Hold,Buy
